7140201,"Giáo dục Mầm non","M02; M03; M05; M06",19,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; A01; C00; D01",20,18,0,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140205,"Giáo dục Chính trị","C00; C19; D01; D66",19,18,0,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"Sư phạm Toán học","A00; A01; C01; D01",22,18,0,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140211,"Sư phạm Vật lý","A00; A01; C01; C05",19,18,0,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140212,"Sư phạm Hóa học","A00; B00; C02; D07",19,18,0,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ văn","C00; D01; D14; D15",22,18,0,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140218,"Sư phạm Lịch sử","A08; C00; C19; D14",20,18,0,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140219,"Sư phạm Địa lý","A09; C00; C04; D10",20,18,0,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140231,"Sư phạm Tiếng Anh","A01; D01; D09; D14",22.5,18,0,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; C15; D01",23,22.5,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340115,Marketing,"A00; A01; C15; D01",23,22.5,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; C15; D01",20.5,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; C15; D01",21.5,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"A01; C00; C01; D01",23.5,20,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"Công nghệ sinh học","A16; B00; B03; D01",16,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"Kỹ thuật phần mềm","A00; A01; C01; D01",16,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; C01; D01",19,19,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510406,"Công nghệ kỹ thuật môi trường","A00; A01; B00; D07",16,21,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510401,"Công nghệ kỹ thuật hoá học","A00; A01; B00; D07",16,23,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","A00; B00; C05; D01",16,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620105,"Chăn nuôi","A00; B00; C08; D01",16,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620110,"Khoa học cây trồng","A00; B00; C15; D01",16,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620112,"Bảo vệ thực vật","A00; B00; C15; D01",16,20,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620116,"Phát triển nông thôn","A00; B00; C00; D01",16,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7620301,"Nuôi trồng thủy sản","A00; B00; D01; D10",16,18,600,1,"2022-04-15 13:45:53","2022-04-15 13:45:53"
